date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_difference,year,tournament_weight,elo_home,elo_away,elo_diff,home_scored,home_conceded,home_goal_diff,home_win_rate,home_draw_rate,away_scored,away_conceded,away_goal_diff,away_win_rate,away_draw_rate,h2h_home_wins,h2h_away_wins,h2h_draws,actual_result
2000-01-14,China,New Zealand,1.0,0.0,Friendly,Guangzhou,China,0,H,1.0,2000.0,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-01-16,Jamaica,New Zealand,2.0,1.0,Friendly,Guangzhou,China,1,H,1.0,2000.0,1.0,1000.0,984.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0,0,0,
2000-01-16,United States,Iran,1.0,1.0,Friendly,Pasadena,United States,0,D,0.0,2000.0,1.0,1000.0,984.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,0.0,0.0,0,0,0,
2000-01-18,Ghana,Tunisia,2.0,0.0,Friendly,Accra,Ghana,0,H,2.0,2000.0,1.0,1000.0,1022.895539809717,-22.89553980971698,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,1.0,0.0,0,0,0,
2000-01-18,Morocco,Trinidad and Tobago,1.0,0.0,Friendly,El Jadida,Morocco,0,H,1.0,2000.0,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,
2000-01-19,Panama,Guatemala,2.0,0.0,Friendly,Panama City,Panama,0,H,2.0,2000.0,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,
2000-01-19,Togo,Egypt,1.0,0.0,Friendly,Lomé,Togo,0,H,1.0,2000.0,1.0,961.104460190283,995.0796165080975,-33.97515631781448,0.5,4.5,-4.0,0.0,0.0,1.0,1.5,-0.5,0.5,0.0,0,1,0,
2000-01-20,Burkina Faso,Algeria,1.0,0.0,Friendly,Ouagadougou,Burkina Faso,0,H,1.0,2000.0,1.0,1000.0,1000.0,0.0,1.5,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-01-20,Malta,Qatar,2.0,0.0,Friendly,Attard,Malta,0,H,2.0,2000.0,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-01-21,New Zealand,South Korea,0.0,1.0,Friendly,Auckland,New Zealand,0,A,-1.0,2000.0,1.0,968.736306793522,1000.0,-31.263693206478024,0.5,1.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-01-22,Ghana,Cameroon,1.0,1.0,African Cup of Nations,Accra,Ghana,0,D,0.0,2000.0,3.0,1021.3160686998463,1000.0,21.316068699846255,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,
2000-01-23,Egypt,Zambia,2.0,0.0,African Cup of Nations,Kano,Nigeria,1,H,2.0,2000.0,3.0,977.51997097543,1000.0,-22.480029024569944,0.67,1.33,-0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-01-23,New Zealand,South Korea,0.0,0.0,Friendly,Palmerston North,New Zealand,0,D,0.0,2000.0,1.0,954.1721796717983,1014.5641271217237,-60.3919474499254,0.33,1.33,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1,0,
2000-01-23,China,Philippines,8.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,1,H,8.0,2000.0,2.0,1016.0,1000.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-01-23,Vietnam,Guam,11.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,0,H,11.0,2000.0,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-01-23,Nigeria,Tunisia,4.0,2.0,African Cup of Nations,Lagos,Nigeria,0,H,2.0,2000.0,3.0,1000.0,1001.5794711098707,-1.579471109870724,0.0,0.0,0.0,0.0,0.0,3.5,1.0,2.5,0.5,0.0,0,0,0,
2000-01-23,South Africa,Gabon,3.0,1.0,African Cup of Nations,Kumasi,Ghana,1,H,2.0,2000.0,3.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,
2000-01-24,DR Congo,Algeria,0.0,0.0,African Cup of Nations,Kumasi,Ghana,1,D,0.0,2000.0,3.0,1000.0,984.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0,0,0,
2000-01-24,Ivory Coast,Togo,1.0,1.0,African Cup of Nations,Accra,Ghana,1,D,0.0,2000.0,3.0,1020.9203834919025,978.6641057229505,42.25627776895203,2.0,0.0,2.0,1.0,0.0,0.67,3.0,-2.33,0.33,0.0,0,0,0,
2000-01-24,Qatar,Bosnia and Herzegovina,2.0,0.0,Friendly,Doha,Qatar,0,H,2.0,2000.0,1.0,980.0,1000.0,-20.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-01-25,Burkina Faso,Senegal,1.0,3.0,African Cup of Nations,Kano,Nigeria,1,A,-2.0,2000.0,3.0,1016.0,1000.0,16.0,1.33,1.0,0.33,0.33,0.67,0.0,0.0,0.0,0.0,1.0,0,0,0,
2000-01-25,Morocco,Congo,1.0,0.0,African Cup of Nations,Lagos,Nigeria,1,H,1.0,2000.0,3.0,1016.0,1000.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-01-26,Costa Rica,Trinidad and Tobago,2.0,1.0,Friendly,San José,Costa Rica,0,H,1.0,2000.0,1.0,1000.0,984.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.5,0,0,0,
2000-01-26,Guatemala,Panama,1.0,1.0,Friendly,Guatemala City,Guatemala,0,D,0.0,2000.0,1.0,980.0,1020.0,-40.0,0.5,1.5,-1.0,0.0,0.5,2.0,0.0,2.0,1.0,0.0,0,1,0,
2000-01-26,China,Guam,19.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,1,H,19.0,2000.0,2.0,1038.895539809717,976.0,62.89553980971709,4.5,0.0,4.5,1.0,0.0,0.0,11.0,-11.0,0.0,0.0,0,0,0,
2000-01-26,Vietnam,Philippines,3.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,0,H,3.0,2000.0,2.0,1024.0,977.104460190283,46.89553980971698,11.0,0.0,11.0,1.0,0.0,0.0,8.0,-8.0,0.0,0.0,0,0,0,
2000-01-26,Spain,Poland,3.0,0.0,Friendly,Cartagena,Spain,0,H,3.0,2000.0,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-01-26,Uganda,Libya,3.0,2.0,Friendly,Kampala,Uganda,0,H,1.0,2000.0,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-01-27,Ghana,Togo,2.0,0.0,African Cup of Nations,Accra,Ghana,0,H,2.0,2000.0,3.0,1019.845451578395,981.5687579827526,38.27669359564243,1.5,0.5,1.0,0.5,0.5,0.75,2.5,-1.75,0.25,0.25,0,0,0,
2000-01-27,South Africa,DR Congo,1.0,0.0,African Cup of Nations,Kumasi,Ghana,1,H,1.0,2000.0,3.0,1020.0,998.895539809717,21.10446019028302,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,
2000-01-28,Cameroon,Ivory Coast,3.0,0.0,African Cup of Nations,Accra,Ghana,1,H,3.0,2000.0,3.0,1001.4706171214513,1018.0157312321004,-16.545114110649138,1.0,1.0,0.0,0.0,1.0,1.5,0.5,1.0,0.5,0.5,0,0,0,
2000-01-28,Egypt,Senegal,1.0,0.0,African Cup of Nations,Kano,Nigeria,1,H,1.0,2000.0,3.0,998.8122226590885,1020.9203834919025,-22.10816083281395,1.0,1.0,0.0,0.5,0.0,1.5,0.5,1.0,0.5,0.5,0,0,0,
2000-01-28,Nigeria,Congo,0.0,0.0,African Cup of Nations,Lagos,Nigeria,0,D,0.0,2000.0,3.0,1020.0909210394598,984.736306793522,35.354614245937796,4.0,2.0,2.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0,0,0,
2000-01-28,United States Virgin Islands,Saint Lucia,0.0,9.0,Friendly,Saint Croix,United States Virgin Islands,0,A,-9.0,2000.0,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-01-29,Algeria,Gabon,3.0,1.0,African Cup of Nations,Kumasi,Ghana,1,H,2.0,2000.0,3.0,985.104460190283,980.0,5.104460190283021,0.0,0.5,-0.5,0.0,0.5,1.0,2.0,-1.0,0.0,0.5,0,0,0,
2000-01-29,Chile,United States,1.0,2.0,Friendly,Coquimbo,Chile,0,A,-1.0,2000.0,1.0,1000.0,998.895539809717,1.104460190283021,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,
2000-01-29,Philippines,Guam,2.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,1,H,2.0,2000.0,2.0,956.324359032695,956.2978240722161,0.02653496047889803,0.0,5.5,-5.5,0.0,0.0,0.0,15.0,-15.0,0.0,0.0,0,0,0,
2000-01-29,Tunisia,Morocco,0.0,0.0,African Cup of Nations,Lagos,Nigeria,1,D,0.0,2000.0,3.0,981.488550070411,1031.263693206478,-49.77514313606696,3.0,2.0,1.0,0.33,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0,
2000-01-29,Vietnam,China,0.0,2.0,AFC Asian Cup qualification,Hanoi,Vietnam,0,A,-2.0,2000.0,2.0,1044.780101157588,1058.597715737501,-13.81761457991297,7.0,0.0,7.0,1.0,0.0,9.33,0.0,9.33,1.0,0.0,0,0,0,
2000-01-29,Zambia,Burkina Faso,1.0,1.0,African Cup of Nations,Kano,Nigeria,1,D,0.0,2000.0,3.0,978.7077483163415,995.0796165080975,-16.371868191755993,0.0,2.0,-2.0,0.0,0.0,1.25,1.5,-0.25,0.25,0.5,0,0,0,
2000-01-30,United States Virgin Islands,Saint Lucia,0.0,2.0,Friendly,Saint Croix,United States Virgin Islands,0,A,-2.0,2000.0,1.0,976.0,1024.0,-48.0,0.0,9.0,-9.0,0.0,0.0,9.0,0.0,9.0,1.0,0.0,0,1,0,
2000-01-31,Cameroon,Togo,0.0,1.0,African Cup of Nations,Kumasi,Ghana,1,A,-1.0,2000.0,3.0,1026.612649972086,963.7632703135353,62.84937965855079,1.5,0.75,0.75,0.25,0.75,0.6,2.4,-1.8,0.2,0.2,0,0,0,
2000-01-31,Faroe Islands,Finland,0.0,1.0,Nordic Championship,Cartagena,Spain,1,A,-1.0,2000.0,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-01-31,Ghana,Ivory Coast,0.0,2.0,African Cup of Nations,Accra,Ghana,0,A,-2.0,2000.0,3.0,1037.6509392476123,992.8736983814657,44.7772408661466,1.67,0.33,1.33,0.67,0.33,1.0,1.33,-0.33,0.33,0.33,0,0,0,
2000-01-31,Iceland,Norway,0.0,0.0,Nordic Championship,Cartagena,Spain,1,D,0.0,2000.0,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-01-31,Kuwait,Syria,4.0,0.0,Friendly,Kuwait City,Kuwait,0,H,4.0,2000.0,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-02-01,Zambia,Senegal,2.0,2.0,African Cup of Nations,Lagos,Nigeria,1,D,0.0,2000.0,3.0,979.8378405783744,1003.9036369871193,-24.06579640874486,0.5,1.5,-1.0,0.0,0.5,1.0,0.67,0.33,0.33,0.33,0,0,0,
2000-02-01,British Virgin Islands,Saint Lucia,2.0,3.0,Friendly,Road Town,British Virgin Islands,0,A,-1.0,2000.0,1.0,1000.0,1041.2543443246534,-41.2543443246534,0.0,0.0,0.0,0.0,0.0,5.5,0.0,5.5,1.0,0.0,0,0,0,
2000-02-01,Egypt,Burkina Faso,4.0,2.0,African Cup of Nations,Kano,Nigeria,1,H,2.0,2000.0,3.0,1015.8289691638718,993.9495242460646,21.879444917807177,1.0,0.8,0.2,0.6,0.0,1.2,1.4,-0.2,0.2,0.6,0,0,0,
2000-02-02,Armenia,Moldova,2.0,1.0,Cyprus International Tournament,Larnaca,Cyprus,1,H,1.0,2000.0,2.0,1000.0,1000.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-02-02,DR Congo,Gabon,0.0,0.0,African Cup of Nations,Accra,Ghana,1,D,0.0,2000.0,3.0,983.8662425203147,960.2938152088972,23.572427311417528,0.0,0.5,-0.5,0.0,0.5,1.0,2.33,-1.33,0.0,0.33,0,0,0,
2000-02-02,Costa Rica,Chile,1.0,0.0,Friendly,San José,Costa Rica,0,H,1.0,2000.0,1.0,1015.263693206478,983.9491378999273,31.314555306550687,2.0,1.0,1.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.0,0,0,0,
2000-02-02,Cyprus,Lithuania,2.0,1.0,Cyprus International Tournament,Limassol,Cyprus,0,H,1.0,2000.0,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-02-02,Finland,Iceland,0.0,1.0,Nordic Championship,Cartagena,Spain,1,A,-1.0,2000.0,2.0,1016.0,1000.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,
2000-02-02,Romania,Latvia,2.0,0.0,Cyprus International Tournament,Paphos,Cyprus,1,H,2.0,2000.0,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-02-02,South Africa,Algeria,1.0,1.0,African Cup of Nations,Kumasi,Ghana,1,D,0.0,2000.0,3.0,1035.0292972894022,1004.8106449813858,30.218652308016317,2.0,0.5,1.5,1.0,0.0,1.0,0.67,0.33,0.33,0.33,0,0,0,
2000-02-02,Saint Kitts and Nevis,Saint Lucia,0.0,1.0,Friendly,Basseterre,Saint Kitts and Nevis,0,A,-1.0,2000.0,1.0,1000.0,1055.36339012244,-55.36339012244002,0.0,0.0,0.0,0.0,0.0,4.67,0.67,4.0,1.0,0.0,0,0,0,
2000-02-03,Nigeria,Morocco,2.0,0.0,African Cup of Nations,Lagos,Nigeria,0,H,2.0,2000.0,3.0,1017.6571056080986,1027.8486802404336,-10.191574632335005,2.0,1.0,1.0,0.5,0.5,0.67,0.0,0.67,0.67,0.33,0,0,0,
2000-02-03,Tunisia,Congo,1.0,0.0,African Cup of Nations,Kano,Nigeria,1,H,1.0,2000.0,3.0,984.9035630364552,987.1701222248831,-2.266559188427891,2.25,1.5,0.75,0.25,0.25,0.0,0.5,-0.5,0.0,0.5,0,0,0,
2000-02-04,Cyprus,Armenia,3.0,2.0,Cyprus International Tournament,Nicosia,Cyprus,0,H,1.0,2000.0,2.0,1016.0,1016.0,0.0,2.0,1.0,1.0,1.0,0.0,1.5,1.0,0.5,0.5,0.5,0,0,0,
2000-02-04,Faroe Islands,Iceland,2.0,3.0,Nordic Championship,Cartagena,Spain,1,A,-1.0,2000.0,2.0,984.0,1016.736306793522,-32.736306793521976,0.0,1.0,-1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0,0,0,
2000-02-04,Kuwait,Iran,1.0,1.0,Friendly,Kuwait City,Kuwait,0,D,0.0,2000.0,1.0,1024.0,985.104460190283,38.89553980971698,4.0,0.0,4.0,1.0,0.0,1.0,1.5,-0.5,0.0,0.5,0,0,0,
2000-02-04,Moldova,Lithuania,2.0,1.0,Cyprus International Tournament,Larnaca,Cyprus,1,H,1.0,2000.0,2.0,984.0,984.0,0.0,1.0,2.0,-1.0,0.0,0.0,1.0,2.0,-1.0,0.0,0.0,0,0,0,
2000-02-04,Norway,Sweden,1.0,1.0,Nordic Championship,Cartagena,Spain,1,D,0.0,2000.0,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-02-04,Romania,Georgia,1.0,1.0,Cyprus International Tournament,Larnaca,Cyprus,1,D,0.0,2000.0,2.0,1020.0,1000.0,20.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-02-05,Guatemala,Chile,2.0,1.0,Friendly,Guatemala City,Guatemala,0,H,1.0,2000.0,1.0,982.75095842059,969.3873341700098,13.363624250580187,0.67,1.33,-0.67,0.0,0.67,0.5,1.5,-1.0,0.0,0.0,0,0,0,
2000-02-05,Japan,Mexico,0.0,1.0,Lunar New Year Cup,So Kon Po,Hong Kong,1,A,-1.0,2000.0,2.0,1000.0,1016.0,-16.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0,0,0,
2000-02-06,Albania,Andorra,3.0,0.0,Malta International Tournament,Attard,Malta,1,H,3.0,2000.0,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-02-06,Cameroon,Algeria,2.0,1.0,African Cup of Nations,Accra,Ghana,1,H,1.0,2000.0,3.0,1007.7494915572837,1006.8928276955324,0.8566638617512581,1.2,0.8,0.4,0.2,0.6,1.0,0.75,0.25,0.25,0.5,0,0,0,
2000-02-06,Cayman Islands,Jamaica,0.0,0.0,Friendly,George Town,Cayman Islands,0,D,0.0,2000.0,1.0,1000.0,1015.263693206478,-15.263693206478024,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0,0,0,
2000-02-06,Cyprus,Romania,3.0,2.0,Cyprus International Tournament,Nicosia,Cyprus,0,H,1.0,2000.0,2.0,1032.0,1018.6199729331711,13.380027066828916,2.5,1.5,1.0,1.0,0.0,1.5,0.5,1.0,0.5,0.5,0,0,0,
2000-02-06,Georgia,Armenia,2.0,1.0,Cyprus International Tournament,Limassol,Cyprus,1,H,1.0,2000.0,2.0,1001.3800270668289,1000.0,1.3800270668289158,1.0,1.0,0.0,0.0,1.0,1.67,1.67,0.0,0.33,0.33,0,0,0,
2000-02-06,Ghana,South Africa,0.0,1.0,African Cup of Nations,Kumasi,Ghana,0,A,-1.0,2000.0,3.0,1015.0875309938501,1032.9471145752557,-17.85958358140556,1.25,0.75,0.5,0.5,0.25,1.67,0.67,1.0,0.67,0.33,0,0,0,
2000-02-06,Latvia,Lithuania,1.0,2.0,Cyprus International Tournament,Larnaca,Cyprus,1,A,-1.0,2000.0,2.0,980.0,968.0,12.0,0.0,2.0,-2.0,0.0,0.0,1.0,2.0,-1.0,0.0,0.0,0,0,0,
2000-02-06,Malta,Azerbaijan,3.0,0.0,Malta International Tournament,Attard,Malta,0,H,3.0,2000.0,2.0,1020.0,1000.0,20.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-02-07,Singapore,Malaysia,3.0,1.0,Friendly,Singapore,Singapore,0,H,2.0,2000.0,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-02-07,Egypt,Tunisia,0.0,1.0,African Cup of Nations,Kano,Nigeria,1,A,-1.0,2000.0,3.0,1034.5711493595443,1001.0079404637397,33.563208895804564,1.5,1.0,0.5,0.67,0.0,2.0,1.2,0.8,0.4,0.2,0,0,0,
2000-02-07,Nigeria,Senegal,2.0,1.0,African Cup of Nations,Lagos,Nigeria,0,H,1.0,2000.0,3.0,1038.2436115903893,1002.2438842633373,35.999727327051914,2.0,0.67,1.33,0.67,0.33,1.25,1.0,0.25,0.25,0.5,0,0,0,
2000-02-08,Albania,Azerbaijan,1.0,0.0,Malta International Tournament,Attard,Malta,1,H,1.0,2000.0,2.0,1024.0,977.3800270668289,46.619972933171084,3.0,0.0,3.0,1.0,0.0,0.0,3.0,-3.0,0.0,0.0,0,0,0,
2000-02-08,Malta,Andorra,1.0,1.0,Malta International Tournament,Attard,Malta,0,D,0.0,2000.0,2.0,1042.619972933171,976.0,66.61997293317108,2.5,0.0,2.5,1.0,0.0,0.0,3.0,-3.0,0.0,0.0,0,0,0,
2000-02-08,Mexico,Czech Republic,1.0,2.0,Lunar New Year Cup,So Kon Po,Hong Kong,1,A,-1.0,2000.0,2.0,1031.263693206478,1000.0,31.26369320647791,1.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-02-08,Syria,North Korea,5.0,1.0,Friendly,Damascus,Syria,0,H,4.0,2000.0,1.0,976.0,1000.0,-24.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-02-09,Bulgaria,Slovakia,1.0,0.0,Friendly,Valparaíso,Chile,1,H,1.0,2000.0,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-02-09,Cayman Islands,Jamaica,0.0,1.0,Friendly,George Town,Cayman Islands,0,A,-1.0,2000.0,1.0,1001.0537007587869,1014.2099924476911,-13.156291688904162,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0,0,1,
2000-02-09,Chile,Australia,2.0,1.0,Friendly,Valparaíso,Chile,0,H,1.0,2000.0,1.0,954.0024484963127,1000.0,-45.997551503687305,0.67,1.67,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-02-09,Honduras,El Salvador,5.0,1.0,Friendly,San Pedro Sula,Honduras,0,H,4.0,2000.0,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-02-10,Andorra,Azerbaijan,0.0,0.0,Malta International Tournament,Attard,Malta,1,D,0.0,2000.0,2.0,980.5463618298284,963.5141630681458,17.032198761682594,0.5,2.0,-1.5,0.0,0.5,0.0,2.0,-2.0,0.0,0.0,0,0,0,
2000-02-10,Cameroon,Tunisia,3.0,0.0,African Cup of Nations,Accra,Ghana,1,H,3.0,2000.0,3.0,1023.7100408084759,1018.5487932133103,5.161247595165605,1.33,0.83,0.5,0.33,0.5,1.83,1.0,0.83,0.5,0.17,0,0,0,
2000-02-10,Malta,Albania,0.0,1.0,Malta International Tournament,Attard,Malta,0,A,-1.0,2000.0,2.0,1038.0736111033427,1037.8658639986832,0.2077471046595747,2.0,0.33,1.67,0.67,0.33,2.0,0.0,2.0,1.0,0.0,0,0,0,
2000-02-10,Hong Kong,Singapore,0.0,0.0,Friendly,Victoria,Hong Kong,0,D,0.0,2000.0,1.0,1000.0,1020.0,-20.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0,0,0,
2000-02-10,Kuwait,Turkmenistan,6.0,1.0,AFC Asian Cup qualification,Kuwait City,Kuwait,0,H,5.0,2000.0,2.0,1021.324359796447,1000.0,21.32435979644697,2.5,0.5,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-02-10,Nepal,Yemen,0.0,3.0,AFC Asian Cup qualification,Kuwait City,Kuwait,1,A,-3.0,2000.0,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
2000-02-10,Nigeria,South Africa,2.0,0.0,African Cup of Nations,Lagos,Nigeria,0,H,2.0,2000.0,3.0,1052.591670499635,1048.1253740109444,4.466296488690659,2.0,0.75,1.25,0.75,0.25,1.5,0.5,1.0,0.75,0.25,0,0,0,
2000-02-12,Australia,Slovakia,0.0,0.0,Friendly,Valparaíso,Chile,1,D,0.0,2000.0,1.0,981.8940243056109,984.0,-2.1059756943891443,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0,0,0,
2000-02-12,Chile,Bulgaria,3.0,2.0,Friendly,Valparaíso,Chile,0,H,1.0,2000.0,1.0,972.1084241907018,1016.0,-43.89157580929816,1.0,1.5,-0.5,0.25,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0,
2000-02-12,Colombia,Jamaica,1.0,0.0,Gold Cup,Miami,United States,1,H,1.0,2000.0,2.0,1000.0,1029.6044122444218,-29.604412244421837,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.67,0.67,0.33,0,0,0,
