date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_difference,year,home_scored,home_conceded,home_goal_diff,home_win_rate,home_draw_rate,away_scored,away_conceded,away_goal_diff,away_win_rate,away_draw_rate,h2h_home_wins,h2h_away_wins,h2h_draws,tournament_weight,elo_home,elo_away,elo_diff,predicted_result
2026-06-22,Norway,Senegal,,,FIFA World Cup,East Rutherford,United States,1,,,2026,3.1,0.8,2.3,0.6,0.3,1.6,0.9,0.7,0.6,0.2,0,0,0,5,1363.603096577509,1316.2318502550513,47.37124632245764,H
2026-06-22,Argentina,Austria,,,FIFA World Cup,Arlington,United States,1,,,2026,2.5,0.3,2.2,0.8,0.1,2.7,0.4,2.3,0.8,0.1,0,0,0,5,1555.332610428662,1335.2573491675348,220.07526126112725,H
2026-06-22,Jordan,Algeria,,,FIFA World Cup,Santa Clara,United States,1,,,2026,1.7,1.5,0.2,0.5,0.2,2.1,0.4,1.7,0.7,0.2,0,0,0,5,1195.2643183726084,1345.704740208527,-150.44042183591864,A
2026-06-23,Portugal,Uzbekistan,,,FIFA World Cup,Houston,United States,1,,,2026,2.6,0.9,1.7,0.7,0.2,1.4,0.9,0.5,0.4,0.3,0,0,0,5,1450.506595038551,1265.4095035636035,185.09709147494755,H
2026-06-23,Colombia,DR Congo,,,FIFA World Cup,Zapopan,Mexico,1,,,2026,2.5,1.0,1.5,0.7,0.1,1.1,0.5,0.6,0.5,0.3,0,0,0,5,1442.104925799377,1207.118540421285,234.9863853780921,H
2026-06-23,England,Ghana,,,FIFA World Cup,Foxborough,United States,1,,,2026,2.4,0.2,2.2,0.8,0.1,1.1,1.4,-0.3,0.3,0.2,0,0,0,5,1446.5884441544304,1072.792228287238,373.79621586719236,H
2026-06-23,Panama,Croatia,,,FIFA World Cup,Toronto,Canada,1,,,2026,1.8,1.6,0.2,0.4,0.4,1.9,1.0,0.9,0.7,0.1,0,0,0,5,1223.8917065769451,1366.7746923169145,-142.8829857399694,A
2026-06-24,Mexico,Czech Republic,,,FIFA World Cup,Mexico City,Mexico,0,,,2026,1.6,0.4,1.2,0.6,0.3,2.2,0.9,1.3,0.5,0.4,0,0,0,5,1391.378074929906,1260.7497547999137,130.6283201299923,H
2026-06-24,South Africa,South Korea,,,FIFA World Cup,Guadalupe,Mexico,1,,,2026,1.5,1.0,0.5,0.5,0.2,1.5,1.2,0.3,0.6,0.1,0,0,0,5,1140.0261582851895,1315.5016334873835,-175.47547520219405,A
2026-06-24,Canada,Switzerland,,,FIFA World Cup,Vancouver,Canada,0,,,2026,1.1,0.4,0.7,0.4,0.5,2.2,0.8,1.4,0.5,0.4,0,0,0,5,1326.4398675262037,1356.824879136157,-30.38501160995338,H
2026-06-24,Bosnia and Herzegovina,Qatar,,,FIFA World Cup,Seattle,United States,1,,,2026,2.0,1.0,1.0,0.3,0.6,0.7,1.5,-0.8,0.1,0.4,0,0,0,5,1116.13682512153,1056.268658396208,59.868166725322,H
2026-06-24,Scotland,Brazil,,,FIFA World Cup,Miami Gardens,United States,1,,,2026,2.1,1.0,1.1,0.6,0.1,2.5,1.1,1.4,0.6,0.1,0,0,0,5,1255.9214166653912,1448.5836247606524,-192.66220809526112,A
2026-06-24,Morocco,Haiti,,,FIFA World Cup,Atlanta,United States,1,,,2026,2.2,0.3,1.9,0.7,0.3,1.5,1.0,0.5,0.4,0.3,0,0,0,5,1426.3399827300552,1128.401645310564,297.9383374194913,H
2026-06-25,United States,Turkey,,,FIFA World Cup,Inglewood,United States,0,,,2026,1.8,1.7,0.1,0.5,0.1,2.5,1.3,1.2,0.8,0.1,0,1,0,5,1318.9984066465952,1369.4305733777055,-50.43216673111033,H
2026-06-25,Paraguay,Australia,,,FIFA World Cup,Santa Clara,United States,1,,,2026,1.2,1.0,0.2,0.4,0.2,1.3,1.0,0.3,0.5,0.1,0,0,0,5,1302.8827481961675,1315.5929437097868,-12.710195513619283,A
2026-06-25,Curaçao,Ivory Coast,,,FIFA World Cup,Philadelphia,United States,1,,,2026,1.9,1.4,0.5,0.4,0.3,1.9,0.8,1.1,0.7,0.1,0,0,0,5,1049.524651462203,1290.6779557560199,-241.15330429381675,A
2026-06-25,Ecuador,Germany,,,FIFA World Cup,East Rutherford,United States,1,,,2026,1.2,0.5,0.7,0.4,0.6,2.8,0.8,2.0,0.9,0.0,0,0,0,5,1400.544631162859,1437.0666240095911,-36.52199284673202,A
2026-06-25,Japan,Sweden,,,FIFA World Cup,Arlington,United States,1,,,2026,1.9,0.6,1.3,0.7,0.2,1.3,2.0,-0.7,0.2,0.3,0,0,0,5,1434.3290437777491,1227.0642996664387,207.2647441113104,H
2026-06-25,Tunisia,Netherlands,,,FIFA World Cup,Kansas City,United States,1,,,2026,1.3,1.4,-0.1,0.3,0.4,2.2,0.8,1.4,0.6,0.3,0,0,0,5,1187.0953020650727,1411.9504776881374,-224.85517562306472,A
2026-06-26,Egypt,Iran,,,FIFA World Cup,Seattle,United States,1,,,2026,1.3,0.6,0.7,0.5,0.3,1.7,0.6,1.1,0.5,0.2,0,0,0,5,1256.322527151461,1341.2566438166432,-84.93411666518227,A
2026-06-26,New Zealand,Belgium,,,FIFA World Cup,Vancouver,Canada,1,,,2026,0.7,1.8,-1.1,0.1,0.1,3.7,0.6,3.1,0.7,0.3,0,0,0,5,1144.4817928057782,1373.3167300367343,-228.83493723095603,A
