,date,home_team,away_team,home_score,away_score,tournament,neutral,result,goal_difference,home_scored,home_conceded,home_goal_diff,home_win_rate,home_draw_rate,away_scored,away_conceded,away_goal_diff,away_win_rate,away_draw_rate,tournament_weight,h2h_home_wins,h2h_away_wins,h2h_draws,elo_home,elo_away,elo_diff
101,2000-02-10,Cameroon,Tunisia,3.0,0.0,African Cup of Nations,1,H,3.0,1.33,0.83,0.5,0.33,0.5,1.83,1.0,0.83,0.5,0.17,2.0,0,0,0,1023.7100408084759,1018.5487932133103,5.161247595165605
102,2000-02-10,Andorra,Azerbaijan,0.0,0.0,Malta International Tournament,1,D,0.0,0.5,2.0,-1.5,0.0,0.5,0.0,2.0,-2.0,0.0,0.0,2.0,0,0,0,980.5463618298284,963.5141630681458,17.032198761682594
103,2000-02-12,Australia,Slovakia,0.0,0.0,Friendly,1,D,0.0,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0,0,0,981.8940243056109,984.0,-2.1059756943891443
104,2000-02-12,Chile,Bulgaria,3.0,2.0,Friendly,0,H,1.0,1.0,1.5,-0.5,0.25,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0,0,972.1084241907018,1016.0,-43.89157580929816
105,2000-02-12,Colombia,Jamaica,1.0,0.0,Gold Cup,1,H,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.67,0.67,0.33,2.0,0,0,0,1000.0,1029.6044122444218,-29.604412244421837
106,2000-02-12,Nepal,Bhutan,3.0,0.0,AFC Asian Cup qualification,1,H,3.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,976.0,1000.0,-24.0
107,2000-02-12,South Africa,Tunisia,2.0,2.0,African Cup of Nations,1,D,0.0,1.2,0.8,0.4,0.6,0.2,1.57,1.29,0.29,0.43,0.14,2.0,0,0,0,1028.3824605426469,994.9052933428949,33.47716719975199
108,2000-02-12,United States,Haiti,3.0,0.0,Gold Cup,0,H,3.0,1.5,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1014.9464019097896,1000.0,14.946401909789643
109,2000-02-12,Yemen,Turkmenistan,0.0,1.0,AFC Asian Cup qualification,1,A,-1.0,3.0,0.0,3.0,1.0,0.0,1.0,6.0,-5.0,0.0,0.0,2.0,0,0,0,1024.0,977.4711876988481,46.5288123011519
110,2000-02-13,Syria,North Korea,0.0,0.0,Friendly,0,D,0.0,2.5,2.5,0.0,0.5,0.0,1.0,5.0,-4.0,0.0,0.0,1.0,1,0,0,1001.655229346888,974.344770653112,27.3104586937759
111,2000-02-13,Singapore,Japan,0.0,3.0,AFC Asian Cup qualification,1,A,-3.0,1.5,0.5,1.0,0.5,0.5,0.0,1.0,-1.0,0.0,0.0,2.0,0,0,0,1018.6199729331711,984.736306793522,33.88366613964911
