date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_difference,year,tournament_weight,elo_home,elo_away,elo_diff,home_scored,home_conceded,home_goal_diff,home_win_rate,home_draw_rate,away_scored,away_conceded,away_goal_diff,away_win_rate,away_draw_rate,h2h_home_wins,h2h_away_wins,h2h_draws
2000-02-04,Moldova,Lithuania,2.0,1.0,Cyprus International Tournament,Larnaca,Cyprus,True,H,1.0,2000,2.0,984.0,984.0,0.0,1.0,2.0,-1.0,0.0,0.0,1.0,2.0,-1.0,0.0,0.0,0,0,0
2000-02-04,Faroe Islands,Iceland,2.0,3.0,Nordic Championship,Cartagena,Spain,True,A,-1.0,2000,2.0,984.0,1016.736306793522,-32.736306793521976,0.0,1.0,-1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0,0,0
2000-02-04,Cyprus,Armenia,3.0,2.0,Cyprus International Tournament,Nicosia,Cyprus,False,H,1.0,2000,2.0,1016.0,1016.0,0.0,2.0,1.0,1.0,1.0,0.0,1.5,1.0,0.5,0.5,0.5,0,0,0
2000-02-04,Kuwait,Iran,1.0,1.0,Friendly,Kuwait City,Kuwait,False,D,0.0,2000,1.0,1024.0,985.104460190283,38.89553980971698,4.0,0.0,4.0,1.0,0.0,1.0,1.5,-0.5,0.0,0.5,0,0,0
2000-02-05,Guatemala,Chile,2.0,1.0,Friendly,Guatemala City,Guatemala,False,H,1.0,2000,1.0,982.75095842059,969.3873341700098,13.363624250580187,0.67,1.33,-0.67,0.0,0.67,0.5,1.5,-1.0,0.0,0.0,0,0,0
2000-02-05,Japan,Mexico,0.0,1.0,Lunar New Year Cup,So Kon Po,Hong Kong,True,A,-1.0,2000,2.0,1000.0,1016.0,-16.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0,0,0
2000-02-06,Albania,Andorra,3.0,0.0,Malta International Tournament,Attard,Malta,True,H,3.0,2000,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2000-02-06,Cameroon,Algeria,2.0,1.0,African Cup of Nations,Accra,Ghana,True,H,1.0,2000,3.0,1007.7494915572837,1006.8928276955324,0.8566638617512581,1.2,0.8,0.4,0.2,0.6,1.0,0.75,0.25,0.25,0.5,0,0,0
2000-02-06,Cayman Islands,Jamaica,0.0,0.0,Friendly,George Town,Cayman Islands,False,D,0.0,2000,1.0,1000.0,1015.263693206478,-15.263693206478024,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0,0,0
2000-02-06,Cyprus,Romania,3.0,2.0,Cyprus International Tournament,Nicosia,Cyprus,False,H,1.0,2000,2.0,1032.0,1018.6199729331711,13.380027066828916,2.5,1.5,1.0,1.0,0.0,1.5,0.5,1.0,0.5,0.5,0,0,0
2000-02-06,Georgia,Armenia,2.0,1.0,Cyprus International Tournament,Limassol,Cyprus,True,H,1.0,2000,2.0,1001.3800270668289,1000.0,1.3800270668289158,1.0,1.0,0.0,0.0,1.0,1.67,1.67,0.0,0.33,0.33,0,0,0
